user_id,age_bucket,retirement_goal,advisor_specialty_preference,approx_savings,profession,owns_house,risk_tolerance_score,state
69,<30,10+ yrs,Management of New Wealth,46688,Professor,0,4,FL
70,60+,<2 yrs,Entrepreneurial Wealth Management,52973,Product Manager,1,1,NY
71,40-50,10+ yrs,I don't know,49113,Accountant,1,4,CA
72,<30,10+ yrs,Divorce Planning,85077,Teacher,0,5,NY
73,<30,5-10 yrs,Tax Preparation,14197,Student,1,2,NY
74,60+,<2 yrs,Retirement Planning,168291,Software Engineer,1,1,NY
75,40-50,10+ yrs,I don't know,116929,Real Estate Agent,1,4,TX
76,40-50,5-10 yrs,Retirement Planning,21620,Student,0,2,CA
77,40-50,10+ yrs,Retirement Planning,8585,Student,0,3,WA
78,<30,2-5 yrs,Estate Planning,27464,Nurse,1,2,NJ
79,30-40,5-10 yrs,Tax Aware Investing,53188,Government Employee,1,3,FL
80,<30,5-10 yrs,I don't know,674861,Doctor,0,5,TX
81,60+,<2 yrs,Management of New Wealth,107896,Construction Manager,1,1,CA
82,40-50,2-5 yrs,Management of New Wealth,13006,Consultant,0,1,TX
83,30-40,10+ yrs,Tax Preparation,35571,Construction Manager,0,3,IL
84,<30,2-5 yrs,Estate Planning,63076,Small Business Owner,0,5,NJ
85,30-40,2-5 yrs,Tax Aware Investing,83142,Doctor,0,3,NY
86,30-40,5-10 yrs,Management of New Wealth,20266,Data Scientist,0,2,IL
87,40-50,10+ yrs,Life Insurance,58601,Financial Analyst,0,4,NJ
88,40-50,<2 yrs,Estate Planning,34687,Software Engineer,1,3,FL
89,60+,10+ yrs,Life Insurance,24504,Teacher,1,1,CA
90,30-40,2-5 yrs,Retirement Planning,83586,Sales Manager,0,3,FL
91,<30,<2 yrs,Retirement Planning,132785,Financial Analyst,0,3,TX
92,40-50,<2 yrs,Retirement Planning,141059,Small Business Owner,1,2,TX
93,40-50,10+ yrs,Retirement Planning,110962,Real Estate Agent,1,3,TX
94,40-50,2-5 yrs,Entrepreneurial Wealth Management,42292,Financial Analyst,1,3,NY
95,40-50,<2 yrs,Divorce Planning,125881,Small Business Owner,0,3,CA
96,30-40,5-10 yrs,Retirement Planning,87391,Marketing Manager,0,3,NY
97,40-50,10+ yrs,Management of New Wealth,74648,Nurse,1,5,CA
98,30-40,2-5 yrs,Life Insurance,38157,Government Employee,0,3,CA
99,<30,5-10 yrs,Retirement Planning,42311,Software Engineer,0,5,CA
100,<30,<2 yrs,Retirement Planning,70721,Consultant,1,4,CA
101,<30,5-10 yrs,I don't know,594744,Small Business Owner,0,4,IL
102,40-50,10+ yrs,Management of New Wealth,86778,Entrepreneur,1,4,NJ
103,30-40,10+ yrs,I don't know,38174,Software Engineer,0,4,MA
104,30-40,5-10 yrs,Retirement Planning,31283,Software Engineer,0,3,CA
105,60+,5-10 yrs,Tax Preparation,42506,Sales Manager,1,2,NJ
106,30-40,2-5 yrs,Retirement Planning,469565,Retired,0,4,FL
107,30-40,5-10 yrs,Retirement Planning,46196,Professor,1,2,CA
108,40-50,<2 yrs,Management of New Wealth,149669,Student,1,2,IL
109,30-40,10+ yrs,Retirement Planning,47177,Accountant,1,4,MA
110,<30,10+ yrs,Retirement Planning,83706,Nurse,1,5,FL
111,30-40,10+ yrs,Retirement Planning,134938,Software Engineer,1,4,WA
112,<30,10+ yrs,Tax Aware Investing,39548,Nurse,0,5,CA
113,60+,10+ yrs,Tax Preparation,37160,Entrepreneur,0,3,WA
114,60+,10+ yrs,Estate Planning,294484,Teacher,1,4,MA
115,40-50,5-10 yrs,Tax Aware Investing,160513,Doctor,1,3,FL
116,60+,10+ yrs,Retirement Planning,134807,Real Estate Agent,1,3,TX
117,60+,5-10 yrs,Socially Conscious Investing,134396,Construction Manager,1,2,NJ
118,<30,5-10 yrs,Management of New Wealth,100069,Retired,0,3,NY
119,60+,10+ yrs,Tax Aware Investing,406767,Sales Manager,0,3,FL
120,40-50,5-10 yrs,Life Insurance,68838,Software Engineer,1,3,NJ
121,60+,5-10 yrs,Tax Aware Investing,111250,Small Business Owner,1,3,TX
122,60+,10+ yrs,Retirement Planning,17929,Doctor,1,2,NY
123,30-40,<2 yrs,Entrepreneurial Wealth Management,31493,Financial Analyst,1,2,CA
124,<30,5-10 yrs,Life Insurance,22454,Product Manager,0,3,IL
125,30-40,10+ yrs,Tax Aware Investing,208283,Small Business Owner,1,4,WA
126,30-40,10+ yrs,Divorce Planning,6652,Retired,1,2,TX
127,60+,5-10 yrs,Estate Planning,46070,Small Business Owner,0,1,FL
128,60+,2-5 yrs,Entrepreneurial Wealth Management,4472,Financial Analyst,1,2,CA
129,<30,5-10 yrs,Management of New Wealth,31314,Nurse,0,4,TX
130,30-40,10+ yrs,Tax Preparation,42537,Retired,0,3,MA
131,30-40,10+ yrs,I don't know,230126,Teacher,1,4,IL
132,30-40,5-10 yrs,Retirement Planning,94557,Government Employee,1,3,WA
133,<30,<2 yrs,Tax Preparation,31262,Accountant,0,3,NJ
134,30-40,<2 yrs,Estate Planning,172709,Doctor,0,3,CA
135,60+,10+ yrs,Tax Aware Investing,67241,Data Scientist,1,3,FL
136,30-40,5-10 yrs,Tax Aware Investing,68446,Software Engineer,1,2,NY
137,30-40,10+ yrs,Socially Conscious Investing,22417,Data Scientist,1,4,CA
138,40-50,<2 yrs,Tax Preparation,27146,Nurse,1,1,CA
139,30-40,10+ yrs,Management of New Wealth,31489,Construction Manager,1,4,MA
140,60+,10+ yrs,Management of New Wealth,68996,Financial Analyst,1,3,IL
141,60+,10+ yrs,Tax Aware Investing,70976,Financial Analyst,1,4,TX
142,30-40,2-5 yrs,Estate Planning,265583,Consultant,1,3,WA
143,30-40,10+ yrs,I don't know,93577,Software Engineer,1,4,CA
144,30-40,10+ yrs,Retirement Planning,5785,Data Scientist,1,3,MA
145,30-40,5-10 yrs,Tax Preparation,83815,Teacher,0,3,MA
146,<30,10+ yrs,Life Insurance,17943,Consultant,0,4,CA
147,40-50,10+ yrs,Life Insurance,27739,Marketing Manager,1,3,WA
148,30-40,10+ yrs,Management of New Wealth,31858,Student,1,3,MA
149,<30,10+ yrs,Entrepreneurial Wealth Management,36424,Teacher,0,5,WA
150,30-40,2-5 yrs,Retirement Planning,19194,Teacher,1,1,TX
151,60+,5-10 yrs,Entrepreneurial Wealth Management,79469,Doctor,0,2,CA
152,30-40,2-5 yrs,Retirement Planning,18588,Data Scientist,0,2,NY
153,<30,10+ yrs,Retirement Planning,91217,Software Engineer,0,5,WA
154,30-40,10+ yrs,Tax Aware Investing,495475,Retired,0,4,NY
155,60+,10+ yrs,Divorce Planning,20001,Teacher,1,2,WA
156,30-40,5-10 yrs,Estate Planning,51222,Doctor,1,2,TX
157,40-50,2-5 yrs,Retirement Planning,6828,Marketing Manager,1,2,CA
158,40-50,10+ yrs,Retirement Planning,50471,Doctor,1,5,FL
159,30-40,5-10 yrs,I don't know,118000,Marketing Manager,1,4,NY
160,40-50,2-5 yrs,Entrepreneurial Wealth Management,126573,Data Scientist,0,3,NY
161,30-40,10+ yrs,Management of New Wealth,70942,Software Engineer,1,4,NJ
162,40-50,<2 yrs,Management of New Wealth,147316,Product Manager,1,1,TX
163,40-50,5-10 yrs,Estate Planning,654383,Consultant,1,3,TX
164,40-50,5-10 yrs,Retirement Planning,308993,Teacher,1,3,CA
165,<30,2-5 yrs,I don't know,41346,Teacher,0,3,NY
166,60+,10+ yrs,Socially Conscious Investing,17925,Government Employee,0,3,MA
167,30-40,2-5 yrs,Estate Planning,45911,Doctor,1,4,TX
168,<30,2-5 yrs,Retirement Planning,28218,Construction Manager,0,2,NJ
169,<30,2-5 yrs,Estate Planning,99330,Professor,0,4,TX
170,40-50,10+ yrs,Estate Planning,22855,Software Engineer,0,3,NJ
171,40-50,5-10 yrs,Management of New Wealth,61973,Entrepreneur,1,3,NY
172,<30,10+ yrs,Socially Conscious Investing,140675,Product Manager,0,5,NY
173,30-40,<2 yrs,Management of New Wealth,60438,Small Business Owner,0,2,CA
174,30-40,<2 yrs,Retirement Planning,28234,Student,1,1,NJ
175,40-50,5-10 yrs,Retirement Planning,190485,Data Scientist,0,3,NJ
176,<30,10+ yrs,Tax Aware Investing,12196,Doctor,0,5,CA
177,40-50,10+ yrs,Life Insurance,49265,Government Employee,1,4,NY
178,30-40,<2 yrs,Estate Planning,63736,Data Scientist,0,2,IL
179,60+,5-10 yrs,Tax Preparation,67125,Real Estate Agent,0,2,WA
180,<30,10+ yrs,Life Insurance,77842,Product Manager,0,5,NJ
181,30-40,5-10 yrs,Tax Preparation,114622,Professor,1,4,CA
182,<30,10+ yrs,Estate Planning,64095,Financial Analyst,0,4,FL
183,60+,2-5 yrs,Retirement Planning,47512,Professor,0,3,NJ
184,60+,10+ yrs,Retirement Planning,45851,Accountant,1,2,CA
185,30-40,10+ yrs,Tax Preparation,38163,Marketing Manager,0,3,FL
186,40-50,10+ yrs,Estate Planning,134428,Nurse,1,4,CA
187,60+,10+ yrs,Entrepreneurial Wealth Management,36979,Entrepreneur,1,3,CA
188,40-50,5-10 yrs,Entrepreneurial Wealth Management,141788,Nurse,1,3,WA
189,40-50,10+ yrs,Retirement Planning,67312,Doctor,0,4,WA
190,30-40,2-5 yrs,Socially Conscious Investing,41393,Accountant,1,2,TX
191,<30,5-10 yrs,Tax Preparation,115446,Data Scientist,0,4,NY
192,60+,10+ yrs,Retirement Planning,34382,Consultant,1,3,IL
193,60+,10+ yrs,Tax Aware Investing,117520,Small Business Owner,1,3,CA
194,40-50,10+ yrs,Entrepreneurial Wealth Management,80133,Teacher,1,3,CA
195,30-40,2-5 yrs,Retirement Planning,38688,Entrepreneur,0,2,MA
196,30-40,10+ yrs,I don't know,106486,Doctor,0,5,FL
197,40-50,10+ yrs,Life Insurance,108221,Teacher,1,5,NY
198,60+,<2 yrs,Life Insurance,187543,Sales Manager,0,1,FL
199,60+,5-10 yrs,Retirement Planning,157870,Marketing Manager,0,2,NY
200,40-50,5-10 yrs,Retirement Planning,102965,Lawyer,1,3,WA
201,40-50,5-10 yrs,Management of New Wealth,23984,Student,1,3,WA
202,<30,10+ yrs,Retirement Planning,599426,Data Scientist,0,5,IL
203,<30,10+ yrs,Retirement Planning,18708,Teacher,0,5,TX
204,60+,10+ yrs,Retirement Planning,155490,Software Engineer,0,3,CA
205,40-50,10+ yrs,Socially Conscious Investing,97553,Sales Manager,0,5,NJ
206,<30,5-10 yrs,Retirement Planning,23000,Software Engineer,0,2,WA
207,<30,10+ yrs,Life Insurance,59167,Retired,1,5,CA
208,40-50,5-10 yrs,Retirement Planning,61643,Sales Manager,1,3,TX
209,<30,10+ yrs,Tax Aware Investing,214276,Student,1,5,CA
210,<30,2-5 yrs,Tax Preparation,34822,Entrepreneur,0,4,MA
211,40-50,10+ yrs,I don't know,52273,Marketing Manager,0,4,TX
212,40-50,2-5 yrs,Retirement Planning,8083,Doctor,1,3,WA
213,40-50,5-10 yrs,Socially Conscious Investing,315302,Retired,1,3,CA
214,30-40,10+ yrs,Management of New Wealth,25249,Sales Manager,0,3,TX
215,40-50,5-10 yrs,I don't know,88806,Teacher,1,3,WA
216,30-40,10+ yrs,Life Insurance,60399,Marketing Manager,0,4,TX
217,30-40,5-10 yrs,Tax Preparation,60584,Doctor,0,4,WA
218,40-50,10+ yrs,Retirement Planning,137156,Software Engineer,1,3,NY
219,40-50,2-5 yrs,Management of New Wealth,297787,Sales Manager,0,3,WA
220,60+,<2 yrs,Tax Aware Investing,82979,Sales Manager,0,2,CA
221,40-50,5-10 yrs,Tax Preparation,119320,Marketing Manager,0,3,WA
222,40-50,5-10 yrs,Life Insurance,88965,Teacher,1,4,CA
223,<30,2-5 yrs,I don't know,165343,Marketing Manager,1,5,TX
224,30-40,5-10 yrs,Retirement Planning,43624,Software Engineer,1,3,CA
225,30-40,5-10 yrs,Tax Aware Investing,174181,Marketing Manager,1,3,TX
226,30-40,<2 yrs,Management of New Wealth,179772,Professor,1,3,CA
227,60+,10+ yrs,Tax Preparation,175305,Sales Manager,1,4,WA
228,30-40,10+ yrs,Divorce Planning,36529,Government Employee,0,5,CA
229,60+,2-5 yrs,Retirement Planning,56868,Data Scientist,1,1,IL
230,40-50,10+ yrs,Retirement Planning,82085,Retired,1,4,NY
231,40-50,10+ yrs,Management of New Wealth,19268,Retired,0,3,NJ
232,30-40,5-10 yrs,Retirement Planning,278014,Product Manager,0,3,FL
233,40-50,10+ yrs,Entrepreneurial Wealth Management,65444,Retired,0,4,WA
234,30-40,5-10 yrs,Estate Planning,85437,Construction Manager,0,2,TX
235,<30,5-10 yrs,Divorce Planning,39367,Small Business Owner,1,4,CA
236,40-50,<2 yrs,Management of New Wealth,20046,Software Engineer,0,1,MA
237,30-40,10+ yrs,Life Insurance,38421,Software Engineer,0,5,IL
238,<30,10+ yrs,Retirement Planning,80602,Data Scientist,0,5,IL
239,40-50,<2 yrs,Entrepreneurial Wealth Management,121307,Student,1,2,NJ
240,<30,5-10 yrs,Retirement Planning,76543,Product Manager,0,4,NY
241,60+,10+ yrs,Management of New Wealth,90404,Accountant,1,3,FL
242,60+,5-10 yrs,Retirement Planning,48858,Consultant,1,2,WA
243,60+,5-10 yrs,Estate Planning,103427,Real Estate Agent,1,2,NY
244,30-40,10+ yrs,Retirement Planning,251336,Government Employee,0,4,NY
245,<30,10+ yrs,Retirement Planning,124780,Doctor,0,4,IL
246,60+,10+ yrs,I don't know,137116,Data Scientist,1,3,CA
247,30-40,10+ yrs,Retirement Planning,86216,Product Manager,0,4,IL
248,60+,10+ yrs,Life Insurance,17105,Accountant,1,1,FL
249,60+,5-10 yrs,I don't know,25843,Accountant,1,1,WA
250,60+,5-10 yrs,Tax Aware Investing,99646,Software Engineer,1,2,WA
251,30-40,5-10 yrs,Tax Preparation,65522,Software Engineer,0,3,IL
252,30-40,10+ yrs,Retirement Planning,98307,Student,1,4,CA
253,60+,10+ yrs,Tax Aware Investing,299174,Doctor,0,3,CA
254,30-40,<2 yrs,Estate Planning,127189,Teacher,0,3,WA
255,<30,10+ yrs,I don't know,205458,Data Scientist,1,5,FL
256,40-50,5-10 yrs,Tax Aware Investing,72057,Marketing Manager,1,3,NJ
257,60+,<2 yrs,Management of New Wealth,32000,Sales Manager,1,2,TX
258,40-50,5-10 yrs,Management of New Wealth,62813,Teacher,1,3,NY
259,40-50,5-10 yrs,Entrepreneurial Wealth Management,32071,Data Scientist,0,2,MA
260,<30,10+ yrs,Tax Aware Investing,268999,Construction Manager,0,5,CA
261,40-50,2-5 yrs,Tax Preparation,134773,Student,1,3,NJ
262,60+,10+ yrs,Tax Preparation,105710,Government Employee,1,3,IL
263,<30,10+ yrs,Tax Preparation,201259,Data Scientist,0,4,NY
264,30-40,<2 yrs,I don't know,10742,Small Business Owner,1,2,FL
265,60+,10+ yrs,Divorce Planning,112344,Small Business Owner,1,2,WA
266,40-50,5-10 yrs,Tax Aware Investing,20341,Doctor,1,3,IL
267,40-50,5-10 yrs,Estate Planning,65740,Nurse,0,4,TX
268,40-50,5-10 yrs,Retirement Planning,49984,Software Engineer,0,4,CA
269,30-40,10+ yrs,Retirement Planning,120037,Software Engineer,0,5,WA
270,30-40,5-10 yrs,Estate Planning,81256,Teacher,0,2,TX
271,60+,2-5 yrs,Retirement Planning,222038,Construction Manager,1,2,WA
272,60+,2-5 yrs,Estate Planning,38495,Lawyer,1,2,NJ
273,60+,5-10 yrs,I don't know,125267,Retired,1,3,NJ
274,60+,10+ yrs,Tax Aware Investing,76573,Marketing Manager,1,3,WA
275,30-40,5-10 yrs,I don't know,15187,Lawyer,0,2,NJ
276,30-40,2-5 yrs,Estate Planning,28947,Student,1,3,NY
277,40-50,2-5 yrs,Tax Preparation,57821,Lawyer,1,2,CA
278,40-50,5-10 yrs,Entrepreneurial Wealth Management,180063,Retired,1,2,NY
279,40-50,10+ yrs,Retirement Planning,100443,Data Scientist,0,4,CA
280,40-50,5-10 yrs,Estate Planning,23138,Software Engineer,0,2,NY
281,60+,10+ yrs,Estate Planning,58320,Retired,1,3,TX
282,30-40,5-10 yrs,Retirement Planning,406779,Real Estate Agent,0,3,NY
283,30-40,2-5 yrs,I don't know,73137,Doctor,0,4,TX
284,<30,10+ yrs,Divorce Planning,49286,Financial Analyst,0,4,WA
285,40-50,5-10 yrs,Socially Conscious Investing,103008,Sales Manager,1,3,NJ
286,<30,10+ yrs,Socially Conscious Investing,131538,Lawyer,1,5,WA
287,30-40,10+ yrs,Estate Planning,43890,Small Business Owner,0,4,CA
288,40-50,<2 yrs,Tax Aware Investing,104017,Doctor,1,2,FL
289,30-40,<2 yrs,Management of New Wealth,49217,Student,1,1,CA
290,40-50,10+ yrs,Socially Conscious Investing,126423,Software Engineer,0,3,TX
291,<30,5-10 yrs,Management of New Wealth,77089,Retired,1,3,FL
292,<30,2-5 yrs,Tax Aware Investing,102106,Small Business Owner,0,4,NY
293,60+,<2 yrs,Retirement Planning,33414,Teacher,0,1,CA
294,30-40,<2 yrs,Tax Preparation,31597,Accountant,0,2,IL
295,<30,10+ yrs,Estate Planning,154963,Teacher,0,4,NJ
296,40-50,2-5 yrs,I don't know,61607,Small Business Owner,1,3,FL
297,40-50,5-10 yrs,Entrepreneurial Wealth Management,85522,Software Engineer,1,4,CA
298,<30,10+ yrs,Retirement Planning,50223,Data Scientist,0,5,TX
299,40-50,5-10 yrs,Tax Aware Investing,148576,Retired,0,3,NY
300,<30,<2 yrs,Entrepreneurial Wealth Management,38291,Financial Analyst,0,4,WA
301,<30,10+ yrs,I don't know,58568,Lawyer,0,5,WA
302,40-50,<2 yrs,Divorce Planning,134241,Accountant,1,3,NY
303,40-50,10+ yrs,Socially Conscious Investing,190169,Student,1,3,CA
304,40-50,10+ yrs,I don't know,41299,Marketing Manager,1,5,FL
305,40-50,5-10 yrs,Retirement Planning,386047,Financial Analyst,0,3,CA
306,60+,5-10 yrs,Life Insurance,87721,Professor,1,1,WA
307,30-40,5-10 yrs,I don't know,25883,Accountant,1,3,NJ
308,30-40,5-10 yrs,Retirement Planning,92239,Construction Manager,0,4,CA
309,40-50,10+ yrs,I don't know,46877,Doctor,1,4,NY
310,30-40,10+ yrs,Retirement Planning,97798,Entrepreneur,1,5,NJ
311,30-40,5-10 yrs,I don't know,63667,Product Manager,1,2,TX
312,<30,10+ yrs,Retirement Planning,70745,Software Engineer,0,5,IL
313,<30,10+ yrs,I don't know,29131,Real Estate Agent,0,3,CA
314,60+,10+ yrs,Tax Aware Investing,161305,Data Scientist,1,3,CA
315,60+,5-10 yrs,Tax Preparation,23376,Financial Analyst,1,1,IL
316,40-50,5-10 yrs,Management of New Wealth,24394,Software Engineer,1,2,TX
317,30-40,2-5 yrs,Estate Planning,92099,Teacher,1,2,CA
318,<30,10+ yrs,Retirement Planning,280004,Accountant,0,5,NY
319,<30,2-5 yrs,Tax Preparation,48178,Lawyer,1,4,FL
320,30-40,10+ yrs,Retirement Planning,124352,Retired,0,4,IL
321,40-50,5-10 yrs,Management of New Wealth,173860,Sales Manager,1,2,CA
322,40-50,2-5 yrs,Retirement Planning,137752,Nurse,0,4,IL
323,40-50,5-10 yrs,I don't know,50006,Retired,1,3,CA
324,30-40,10+ yrs,Tax Aware Investing,24786,Small Business Owner,1,3,MA
325,60+,<2 yrs,Retirement Planning,9074,Nurse,0,1,NJ
326,40-50,10+ yrs,Retirement Planning,52231,Consultant,1,4,IL
327,40-50,<2 yrs,Estate Planning,191047,Teacher,1,1,CA
328,40-50,2-5 yrs,Retirement Planning,24058,Retired,1,2,NY
329,30-40,5-10 yrs,Estate Planning,124267,Student,0,3,NY
330,30-40,5-10 yrs,Entrepreneurial Wealth Management,28137,Government Employee,0,3,NJ
331,30-40,2-5 yrs,Life Insurance,72799,Accountant,0,2,NY
332,40-50,5-10 yrs,Management of New Wealth,125117,Data Scientist,1,4,NY
333,<30,<2 yrs,Tax Aware Investing,36550,Software Engineer,0,2,CA
334,<30,5-10 yrs,Tax Preparation,77144,Retired,0,3,TX
335,<30,10+ yrs,Retirement Planning,45543,Government Employee,0,5,NJ
336,<30,10+ yrs,Life Insurance,124820,Consultant,0,4,CA
337,60+,5-10 yrs,Retirement Planning,81779,Product Manager,1,2,FL
338,40-50,10+ yrs,Estate Planning,69623,Small Business Owner,1,5,NY
339,30-40,10+ yrs,Retirement Planning,269012,Government Employee,0,3,TX
340,<30,<2 yrs,Entrepreneurial Wealth Management,120099,Accountant,0,3,CA
341,30-40,10+ yrs,Socially Conscious Investing,35549,Entrepreneur,1,4,CA
342,30-40,10+ yrs,Management of New Wealth,61250,Data Scientist,1,4,MA
343,<30,<2 yrs,Socially Conscious Investing,61802,Product Manager,0,3,NJ
344,30-40,2-5 yrs,Tax Preparation,71131,Consultant,1,4,NJ
345,30-40,10+ yrs,I don't know,641816,Data Scientist,1,3,TX
346,40-50,5-10 yrs,Estate Planning,92389,Software Engineer,1,3,NY
347,40-50,<2 yrs,Estate Planning,10590,Product Manager,1,1,CA
348,<30,2-5 yrs,I don't know,40598,Lawyer,0,4,TX
349,30-40,5-10 yrs,Management of New Wealth,11624,Nurse,0,2,WA
350,40-50,10+ yrs,Estate Planning,49177,Student,1,4,WA
351,30-40,10+ yrs,Management of New Wealth,11063,Entrepreneur,1,2,FL
352,60+,10+ yrs,Tax Preparation,30199,Student,1,2,MA
353,40-50,5-10 yrs,Socially Conscious Investing,16837,Professor,0,2,IL
354,<30,5-10 yrs,Divorce Planning,93502,Accountant,1,5,MA
355,<30,5-10 yrs,Estate Planning,66203,Teacher,0,3,FL
356,40-50,5-10 yrs,Tax Aware Investing,86913,Small Business Owner,1,3,CA
357,<30,2-5 yrs,Life Insurance,60228,Consultant,0,4,CA
358,40-50,10+ yrs,Retirement Planning,18866,Student,1,4,NY
359,60+,10+ yrs,Socially Conscious Investing,105047,Sales Manager,1,3,TX
360,40-50,5-10 yrs,Tax Preparation,373249,Government Employee,1,2,FL
361,30-40,10+ yrs,Entrepreneurial Wealth Management,95634,Real Estate Agent,1,5,NJ
362,40-50,2-5 yrs,Entrepreneurial Wealth Management,45101,Software Engineer,0,2,NJ
363,30-40,5-10 yrs,I don't know,18301,Data Scientist,1,2,WA
364,40-50,10+ yrs,Entrepreneurial Wealth Management,29223,Retired,1,3,NY
365,60+,5-10 yrs,Tax Aware Investing,99482,Student,1,2,TX
366,30-40,10+ yrs,Retirement Planning,173825,Retired,1,5,FL
367,60+,10+ yrs,Divorce Planning,83682,Professor,1,4,NJ
368,60+,5-10 yrs,Retirement Planning,135930,Entrepreneur,1,3,CA
369,<30,10+ yrs,Management of New Wealth,125105,Accountant,1,5,NY
